,Unnamed: 0,0,1,2,3,4,5,6,7,8,Smis
DP-000,0,58.12222222222222,37.99444444444445,20.641666666666666,34.638888888888886,87.17777777777778,6.448888888888889,15.059444444444445,8.930555555555555,6.172222222222223,44.1738
DP-001,1,69.9888888888889,39.48333333333333,24.625,31.43888888888889,77.4888888888889,5.248888888888889,11.81611111111111,7.2972222222222225,5.738888888888889,139.993
DP-002,2,71.54444444444445,42.11666666666667,23.85833333333333,38.88333333333333,90.6888888888889,3.115555555555556,16.109444444444446,7.502777777777778,8.55,694.809
DP-003,3,69.27777777777777,35.28333333333333,16.075,33.083333333333336,77.04444444444445,3.3022222222222224,16.801666666666666,6.975,0.7722222222222221,532.672
DP-004,4,68.96666666666667,42.55,22.025,37.61666666666667,106.24444444444444,8.724444444444444,16.467222222222222,5.580555555555556,0.8388888888888889,75.0924
DP-005,5,62.7,35.90555555555556,29.09166666666667,36.98333333333333,95.0,6.875555555555556,16.537222222222223,6.736111111111111,6.06111111111111,75.5712
DP-006,6,74.78888888888889,36.11666666666667,23.55833333333333,32.05,103.04444444444444,2.502222222222222,10.09722222222222,9.958333333333334,1.805555555555556,1454.27
DP-007,7,59.18888888888889,38.12777777777778,25.59166666666667,39.516666666666666,98.2,7.24,10.120555555555557,8.036111111111111,0.6611111111111112,59.8931
DP-008,8,64.12222222222222,38.26111111111111,17.075,34.583333333333336,75.8,8.537777777777778,10.027222222222225,6.197222222222223,3.227777777777778,30.056
DP-009,9,65.96666666666667,44.894444444444446,18.641666666666666,39.672222222222224,92.64444444444445,2.1733333333333333,12.656111111111112,5.002777777777778,7.183333333333333,810.675
DP-010,10,58.388888888888886,42.97222222222222,29.708333333333336,35.43888888888889,90.42222222222222,4.297777777777778,12.197222222222225,5.736111111111111,6.294444444444444,118.092
DP-011,11,68.27777777777777,35.96111111111111,18.475,37.15,70.91111111111111,9.248888888888889,15.471666666666668,7.141666666666667,1.761111111111111,31.943
DP-012,12,57.3,43.18333333333334,26.675,37.18333333333333,108.02222222222224,9.844444444444443,14.756111111111112,8.730555555555556,6.838888888888889,31.3236
DP-013,13,55.25555555555555,42.29444444444445,29.35833333333333,31.772222222222226,82.86666666666667,7.177777777777777,11.365,7.469444444444445,5.205555555555556,22.0694
DP-014,14,74.94444444444444,36.70555555555556,27.008333333333333,38.77222222222223,95.4888888888889,7.897777777777778,15.681666666666668,5.908333333333333,1.2722222222222224,128.604
DP-015,15,61.72222222222222,42.45,28.40833333333333,37.37222222222222,104.51111111111112,4.413333333333333,14.717222222222222,8.575,3.105555555555556,396.475
DP-016,16,60.67777777777778,41.43888888888889,15.725,39.73888888888889,101.22222222222224,9.79111111111111,14.141666666666666,6.625,0.2722222222222222,37.186
DP-017,17,71.23333333333333,42.35,23.058333333333334,38.41666666666666,96.15555555555557,2.8044444444444445,12.982777777777777,8.069444444444445,2.338888888888889,954.845
DP-018,18,68.56666666666666,38.69444444444444,20.008333333333333,30.78333333333333,106.51111111111112,6.093333333333334,16.560555555555556,9.813888888888888,4.216666666666667,147.402
DP-019,19,73.25555555555556,38.61666666666667,29.691666666666663,35.50555555555555,90.82222222222222,3.5955555555555554,15.479444444444445,8.619444444444444,4.938888888888889,678.045
